Tên món ăn,Năng lượng (kcal),Protein (g),Lipid (g),Glucid (g),Chất xơ (g),Loại thức ăn
Ba tê,326.2,10.8,24.6,15.399999999999991,0.0,Khác
Bánh bao chiên có nhân,177.34,2.3,10.1,19.31,1.6628352490421454,Khô
Bánh bao nhân thịt,276.0,10.4,10.8,34.3,0.86,Khô
Bánh bèo,117.60000000000002,1.8,4.2,18.15000000000001,0.6266952177016416,Khô
Bánh bích cốt,349.29999999999995,12.3,1.3,72.1,0.8,Khô
Bánh bích quy,378.1,8.8,4.5,75.6,0.5,Khô
Bánh bột lọc,136.85999999999996,6.8,4.3,17.739999999999995,0.61,Khô
Bánh chay,155.94000000000003,3.3,3.1,28.710000000000008,0.38,Khô
Bánh chuối,297.16,2.0,14.2,40.34,0.13,Khô
Bánh chín tầng mây,169.27999999999997,0.2,0.6,40.77,0.05936395759717288,Khô
Bánh chưng,181.40000000000003,4.3,4.2,31.60000000000001,0.59,Khô
Bánh chả,399.0,3.4,6.6,81.5,1.0,Khô
Bánh con cá,369.0,7.5,2.2,79.8,0.2,Khô
Bánh cuốn,129.3,3.0,5.3,17.400000000000006,0.55,Khô
Bánh cuốn nóng nhân thịt,102.40000000000008,2.1,2.6,17.65000000000002,0.2970639032815207,Khô
Bánh cốm,250.3,3.4,0.3,58.5,1.1,Khô
Bánh dẻo nhân thập cẩm,349.4,5.0,9.8,60.3,0.9,Khô
Bánh dẻo nhân trứng,337.8,7.4,8.2,58.6,1.1,Khô
Bánh gai,250.5,4.7,2.5,52.3,0.35,Khô
Bánh gio,173.36,2.0,0.4,40.44,0.40684544812985163,Khô
Bánh giò,233.90000000000003,2.8,17.5,16.30000000000001,0.6,Khô
Bánh kem xốp,506.0,8.3,24.0,64.19999999999999,3.5,Khô
Bánh khoai,141.36000000000007,4.1,1.6,27.64000000000001,0.49369903632320233,Khô
Bánh khoai sọ chiên,196.7,5.6,8.3,24.90000000000001,0.1567567567567565,Khô
Bánh khoái,159.24,0.6,10.2,16.260000000000005,2.96,Khô
Bánh khúc,249.4,4.1,3.8,49.7,0.6,Khô
Bánh khảo chay,377.1,3.2,0.3,90.4,0.2,Khô
Bánh mè,482.18,5.5,26.5,55.42,1.07,Khô
Bánh mì xíu mại,188.7,11.3,7.5,19.0,1.2,Khô
Bánh mỳ,250.00000000000003,7.9,0.8,52.8,0.2,Khô
Bánh mỳ patê,265.79999999999995,9.8,11.0,31.89999999999999,0.6,Khô
Bánh nướng nhân thập cẩm,386.4,5.2,14.8,58.1,1.8,Khô
Bánh nướng nhân trứng đỗ xanh,371.1,9.6,13.9,51.900000000000006,2.7,Khô
Bánh nếp,215.88,5.0,3.2,41.77,0.62,Khô
Bánh phu thê,184.5,2.1,1.3,41.1,1.0,Khô
Bánh phồng tôm rán,675.6,1.6,59.2,34.099999999999994,0.0,Khô
Bánh phồng tôm sống,381.4,3.4,7.4,75.3,0.0,Khô
Bánh phở,141.2,3.2,0.0,32.099999999999994,0.0,Nước
Bánh quẩy,200.4,3.7,6.8,31.099999999999994,0.1525129982668978,Khô
Bánh quế,436.3,8.3,10.7,76.7,0.3,Khô
Bánh rán bọc đường,318.38,3.7,9.1,55.42,0.17,Khô
Bánh sô cô la,449.2,3.9,17.6,68.8,0.0,Khô
Bánh thỏi sô cô la,0.0,0.0,0.0,0.0,0.0,Khô
Bánh trôi,202.08,2.8,0.6,46.37,0.17,Khô
Bánh trứng nhện,369.3,9.6,3.7,74.4,0.2,Khô
Bánh tôm,203.76000000000005,4.0,10.8,22.64000000000001,0.4,Khô
Bánh tẻ,103.71999999999996,1.5,3.2,17.22999999999999,1.08,Khô
Bánh đa nem,335.40000000000003,4.0,0.2,79.4,0.5,Khô
Bánh đúc,51.90000000000002,0.9,0.3,11.400000000000006,0.1,Khô
Bánh đúc nguội,88.34,2.0,2.1,15.36,0.7233082706766921,Khô
Bánh đúc nóng,108.1,3.9,6.3,8.950000000000003,0.11,Khô
Bánh đậu xanh,419.9,15.6,11.5,63.5,1.1,Khô
Bún,111.6,1.7,0.0,26.200000000000003,0.5,Nước
Bún bò Nam bộ,81.12000000000003,3.2,0.6,15.730000000000004,0.39807264640474405,Nước
Bún chả,135.60000000000002,6.1,4.4,17.900000000000006,0.55,Nước
Bún cua,52.900000000000034,2.1,0.9,9.100000000000009,0.0,Nước
Bún dọc mùng,407.8,3.0,2.6,93.1,0.0,Nước
Bún nem,119.5,3.3,3.9,17.799999999999997,0.56,Nước
Bún đậu,150.79999999999998,3.0,6.4,20.3,0.65,Nước
Bún ốc,62.29999999999997,3.1,0.7,10.899999999999991,0.0,Nước
Caramen,108.94,5.2,4.1,12.810000000000002,0.0,Khác
Cháo lòng,69.19999999999995,1.4,4.4,5.999999999999986,0.05,Nước
Cháo sườn,39.8,1.5,0.2,8.0,0.06,Nước
Cháo trai,48.69999999999997,2.2,0.7,8.39999999999999,0.3,Nước
Chè Thái,81.59,0.72,0.51,18.53,0.009,Khác
Chè bưởi,73.45,0.8,0.41,16.64,0.19,Khác
Chè chuối,81.62999999999995,1.37,0.87,17.079999999999984,0.032,Khác
Chè cốm,79.95999999999997,0.23,0.32,19.039999999999992,0.008,Khô
Chè hạt sen,74.65000000000002,1.25,0.13,17.120000000000005,0.067,Khác
Chè khoai sọ,83.1,0.78,0.42,19.05,0.103,Khác
Chè ngô cốm,72.48000000000006,0.35,0.6,16.420000000000016,0.006,Khô
Chè sắn,85.80999999999997,0.57,0.73,19.239999999999995,0.085,Khác
Chè đỗ xanh,79.07000000000002,1.35,0.39,17.540000000000006,0.098,Khác
Chè đỗ đen,79.26000000000003,1.21,0.26,18.02000000000001,0.123,Khác
Chè đỗ đỏ,76.95000000000002,1.85,0.39,16.510000000000005,0.17,Khác
Chả lá lốt,306.40000000000003,20.0,24.8,0.799999999999997,0.0,Khác
Chả lợn,517.1999999999999,10.8,50.4,5.099999999999993,0.0,Khác
Chả quế,338.6,18.3,29.0,1.0999999999999943,0.4,Khác
Chả quế lợn,415.8,16.2,39.0,0.0,0.0,Khác
Coca cola,42.0,0.0,0.0,10.399999999999991,0.0,Khác
Cơm rang,198.25,6.0,9.65,21.849999999999994,1.0,Khô
Giò bò,335.40000000000003,18.2,29.0,0.4000000000000056,0.05,Khô
Giò lụa,204.60000000000005,16.9,15.0,0.5000000000000142,0.1,Khô
Giò thủ lợn,552.7,16.0,54.3,0.0,0.0,Khô
Miến dong,338.1,0.6,0.1,83.7,1.5,Nước
Miến lươn,72.67999999999995,2.4,2.6,9.919999999999987,0.16,Nước
Miến ngan,65.43999999999997,2.0,2.4,8.959999999999994,0.56,Nước
Mỳ sợi,350.1,11.0,0.9,74.5,0.3,Khác
Mỳ vằn thắn,80.62000000000006,2.6,3.1,10.580000000000013,0.23,Khác
Mỳ xào,139.44,5.7,7.0,13.409999999999997,0.91,Khác
Nem chua,124.89999999999998,20.7,3.3,3.0999999999999943,0.5,Khô
Nem chạo,116.20000000000005,12.1,1.6,13.350000000000009,0.31665150136487763,Khô
Nem lụi,182.78,6.7,13.3,9.069999999999991,0.9311621021465575,Khô
Nem rán,144.98000000000002,4.5,7.7,14.420000000000002,1.288175411119812,Khô
Nhút,25.19999999999999,2.5,0.0,3.7999999999999967,2.3,Khô
Nước cam tươi,0.0,0.0,0.0,0.0,0.0,Nước
Nước dừa non tươi,21.299999999999955,0.4,0.1,4.699999999999989,0.0,Nước
Nước khoáng,0.079999999999984,0.0,0.0,0.019999999999996,0.0,Nước
Nước quít tươi,24.599999999999987,0.4,0.2,5.299999999999997,0.2,Nước
Nước ép cà chua,20.600000000000055,0.8,0.6,3.000000000000014,0.4,Nước
Nộm tai lợn,118.50000000000004,6.6,6.3,8.850000000000009,1.25,Khác
Phở bò chín,73.29999999999998,5.2,0.9,11.099999999999994,0.25,Nước
Phở bò tái,67.1,4.3,0.3,11.799999999999995,0.23,Nước
Phở gà,73.39999999999998,3.8,1.0,12.299999999999995,0.55,Nước
Ruốc cá quả,311.7,65.7,4.1,3.0,0.0,Khô
Ruốc thịt lợn,369.1,46.6,20.3,0.0,0.0,Khô
Ruốc tôm,304.70000000000005,65.5,3.1,3.7000000000000166,0.0,Khô
Sốt mayonnaise,700.5999999999999,0.0,77.8,0.0999999999999943,0.0,Khác
Thịt xiên nướng,322.36000000000007,26.5,23.8,0.5400000000000063,0.52,Khô
Tào phớ,46.39999999999998,3.8,1.2,5.099999999999993,0.0,Khác
Xôi gấc,231.2,3.1,0.8,52.900000000000006,0.1,Khác
Xôi lạc,245.5,4.2,4.3,47.5,1.1,Khác
Xôi ngô,197.6,4.4,4.0,36.0,1.2,Khác
Xôi xéo,254.1,4.3,3.7,50.900000000000006,0.4,Khác
Xôi đỗ xanh,229.6,5.5,0.4,51.0,1.3,Khác
Xúc xích,535.4,27.2,47.4,0.0,0.0,Khô